System_ID,Vehicle_ID,System_Type,Comment
S011,3011,Electrical,"This recall was replaced by Transport Canada Recall No. 2022-607. 

On certain vehicles, the connector pins within the Hydraulic Electronic Control Unit (HECU) assembly can corrode due to improper sealing of the HECU's wire harness cover. If moisture and road salt reaches the HECU's circuit board, electrical short circuits may occur to the circuit board, which could increase the risk of an underhood fire causing injury and/or property damage. Correction: Dealers will inspect the connector pins of the HECU for corrosion. If no corrosion is identified, dealers will replace the connector cover with a new one. If corrosion is present, dealers will replace the HECU assembly and connector cover with a new one. Note: The presence of salt water in the HECU does not affect brake performance."
S012,3012,Electrical,"This recall was replaced by Transport Canada Recall No. 2022-607. 

On certain vehicles, the connector pins within the Hydraulic Electronic Control Unit (HECU) assembly can corrode due to improper sealing of the HECU's wire harness cover. If moisture and road salt reaches the HECU's circuit board, electrical short circuits may occur to the circuit board, which could increase the risk of an underhood fire causing injury and/or property damage. Correction: Dealers will inspect the connector pins of the HECU for corrosion. If no corrosion is identified, dealers will replace the connector cover with a new one. If corrosion is present, dealers will replace the HECU assembly and connector cover with a new one. Note: The presence of salt water in the HECU does not affect brake performance."
S013,3013,Structure,"On certain school buses, the chassis mounted battery box support brackets may develop cracks over time. If this occurs, the battery box brackets could fail, allowing the battery box to separate from the chassis and become a road hazard, increasing the risk of a crash causing injury and/or property damage. Correction: Dealers will remove the braces on all units, add reinforcements or replace the front and rear brackets  on some units  with new higher strength steel, based on  the matrix in the instructions."
S014,3014,Structure,"On certain school buses, the chassis mounted battery box support brackets may develop cracks over time. If this occurs, the battery box brackets could fail, allowing the battery box to separate from the chassis and become a road hazard, increasing the risk of a crash causing injury and/or property damage. Correction: Dealers will remove the braces on all units, add reinforcements or replace the front and rear brackets  on some units  with new higher strength steel, based on  the matrix in the instructions."
S015,3015,Structure,"On certain school buses, the chassis mounted battery box support brackets may develop cracks over time. If this occurs, the battery box brackets could fail, allowing the battery box to separate from the chassis and become a road hazard, increasing the risk of a crash causing injury and/or property damage. Correction: Dealers will remove the braces on all units, add reinforcements or replace the front and rear brackets  on some units  with new higher strength steel, based on  the matrix in the instructions."
S016,3016,Structure,"On certain school buses, the chassis mounted battery box support brackets may develop cracks over time. If this occurs, the battery box brackets could fail, allowing the battery box to separate from the chassis and become a road hazard, increasing the risk of a crash causing injury and/or property damage. Correction: Dealers will remove the braces on all units, add reinforcements or replace the front and rear brackets  on some units  with new higher strength steel, based on  the matrix in the instructions."
S017,3017,Electrical,"On certain travel trailers, the breakaway switch may not have been wired correctly. If the trailer was to disconnect from the towed vehicle during transit, the fifth wheel brakes would not be automatically applied, which could increase the risk of a crash causing injury and/or damage to property. Correction: Dealers will correct the wiring."
S018,3018,Engine,"On certain ATVs, the right side panel heat shield can melt. In addition, for the 2015 Sportsman 1000 models, the exhaust springs can stretch and damage the exhaust seal, which can result in exhaust leaks. Both of these conditions could pose burn and fire hazards causing injury and/or damage to property. Correction: Dealers will install a new side right hand side panel, and for the 2015 Sportsman 1000 models, dealers will inspect the exhaust springs, and replace as necessary."
S019,3019,Engine,"On certain ATVs, the right side panel heat shield can melt. In addition, for the 2015 Sportsman 1000 models, the exhaust springs can stretch and damage the exhaust seal, which can result in exhaust leaks. Both of these conditions could pose burn and fire hazards causing injury and/or damage to property. Correction: Dealers will install a new side right hand side panel, and for the 2015 Sportsman 1000 models, dealers will inspect the exhaust springs, and replace as necessary."
S020,3020,Engine,"On certain ATVs, the right side panel heat shield can melt. In addition, for the 2015 Sportsman 1000 models, the exhaust springs can stretch and damage the exhaust seal, which can result in exhaust leaks. Both of these conditions could pose burn and fire hazards causing injury and/or damage to property. Correction: Dealers will install a new side right hand side panel, and for the 2015 Sportsman 1000 models, dealers will inspect the exhaust springs, and replace as necessary."
S021,3021,Engine,"On certain ATVs, the right side panel heat shield can melt. In addition, for the 2015 Sportsman 1000 models, the exhaust springs can stretch and damage the exhaust seal, which can result in exhaust leaks. Both of these conditions could pose burn and fire hazards causing injury and/or damage to property. Correction: Dealers will install a new side right hand side panel, and for the 2015 Sportsman 1000 models, dealers will inspect the exhaust springs, and replace as necessary."
S022,3022,Electrical,"On certain vehicles, the case for the battery sensor may have been improperly manufactured with gaps that could allow for moisture intrusion. If moisture or road salt were to enter the battery sensor case, it could result in corrosion to the sensor, which could cause an electrical short, increasing the risk of a fire causing injury and/or property damage. Correction: Dealers will inspect, and replace the battery sensor as necessary."
S023,3023,Electrical,"On certain vehicles, the case for the battery sensor may have been improperly manufactured with gaps that could allow for moisture intrusion. If moisture or road salt were to enter the battery sensor case, it could result in corrosion to the sensor, which could cause an electrical short, increasing the risk of a fire causing injury and/or property damage. Correction: Dealers will inspect, and replace the battery sensor as necessary."
S024,3024,Electrical,"On certain vehicles, the case for the battery sensor may have been improperly manufactured with gaps that could allow for moisture intrusion. If moisture or road salt were to enter the battery sensor case, it could result in corrosion to the sensor, which could cause an electrical short, increasing the risk of a fire causing injury and/or property damage. Correction: Dealers will inspect, and replace the battery sensor as necessary."
S025,3025,Electrical,"On certain vehicles, the case for the battery sensor may have been improperly manufactured with gaps that could allow for moisture intrusion. If moisture or road salt were to enter the battery sensor case, it could result in corrosion to the sensor, which could cause an electrical short, increasing the risk of a fire causing injury and/or property damage. Correction: Dealers will inspect, and replace the battery sensor as necessary."
S026,3026,Airbag,"Issue: 
On certain trucks, the driver and/or passenger-front airbag inflator could rupture when the airbag deploys in a crash. If this happens, the airbag may not inflate properly and small pieces of metal could be propelled toward vehicle occupants. 
 
Safety Risk: 
An airbag inflator that ruptures can create a risk of injury or death. 
 
Corrective Actions: 
Ford advises not to drive your vehicle until the recall repairs are completed. You should contact a Ford dealer immediately to have the vehicle repaired. Ford will replace the driver and passenger-front airbag inflators."
S027,3027,Accessories,"On certain trailers equipped with an outside grill, the quick-disconnect rubber propane line may be routed incorrectly and could allow for the grill to be stored with the fuel source on. If the grill is stored with a lit flame, there is an increased the risk of a fire causing injury and/or property damage. Correction: Dealers will replace the rubber propane line and ensure the new routing requires the grill to be disconnected before stowing."
S028,3028,Accessories,"On certain trailers equipped with an outside grill, the quick-disconnect rubber propane line may be routed incorrectly and could allow for the grill to be stored with the fuel source on. If the grill is stored with a lit flame, there is an increased the risk of a fire causing injury and/or property damage. Correction: Dealers will replace the rubber propane line and ensure the new routing requires the grill to be disconnected before stowing."
S029,3029,Structure,"Issue: 
On certain travel trailers, the spare tire carrier mounted to the rear wall may not have adequate support. This could cause the tire and carrier to separate from the trailer. 

Safety Risk: 
If the spare tire carrier separates, it could fall and become a hazard for road users and bystanders. This could create a risk of injury and/or a crash. 

Corrective Actions: 
The company will notify owners by mail. Owners will be instructed to take their vehicle to a dealer to have an inspection performed. Dealers will ensure the spare tire carrier is properly supported."
S030,3030,Accessories,"Issue: 
On certain fifth wheel trailers, the cargo tray could detach when it is opened. If enough force is applied, the stop-bracket fasteners could fail and allow the tray to come all the way out of the compartment it is mounted in.
 
Safety Risk: 
If the cargo tray comes out, it could increase the risk of injury. 

Corrective Actions: 
The company will notify owners by mail. Owners will be instructed to take their trailer to a dealer to have the fasteners removed and replaced with improved ones."
S031,3031,Accessories,"Issue: 
On certain fifth wheel trailers, the cargo tray could detach when it is opened. If enough force is applied, the stop-bracket fasteners could fail and allow the tray to come all the way out of the compartment it is mounted in.
 
Safety Risk: 
If the cargo tray comes out, it could increase the risk of injury. 

Corrective Actions: 
The company will notify owners by mail. Owners will be instructed to take their trailer to a dealer to have the fasteners removed and replaced with improved ones."
S032,3032,Accessories,"Issue: 
On certain fifth wheel trailers, the cargo tray could detach when it is opened. If enough force is applied, the stop-bracket fasteners could fail and allow the tray to come all the way out of the compartment it is mounted in.
 
Safety Risk: 
If the cargo tray comes out, it could increase the risk of injury. 

Corrective Actions: 
The company will notify owners by mail. Owners will be instructed to take their trailer to a dealer to have the fasteners removed and replaced with improved ones."
S033,3033,Accessories,"Issue: 
On certain fifth wheel trailers, the cargo tray could detach when it is opened. If enough force is applied, the stop-bracket fasteners could fail and allow the tray to come all the way out of the compartment it is mounted in.
 
Safety Risk: 
If the cargo tray comes out, it could increase the risk of injury. 

Corrective Actions: 
The company will notify owners by mail. Owners will be instructed to take their trailer to a dealer to have the fasteners removed and replaced with improved ones."
S034,3034,Accessories,"Issue: 
On certain fifth wheel trailers, the cargo tray could detach when it is opened. If enough force is applied, the stop-bracket fasteners could fail and allow the tray to come all the way out of the compartment it is mounted in.
 
Safety Risk: 
If the cargo tray comes out, it could increase the risk of injury. 

Corrective Actions: 
The company will notify owners by mail. Owners will be instructed to take their trailer to a dealer to have the fasteners removed and replaced with improved ones."
S035,3035,Accessories,"Issue: 
On certain fifth wheel trailers, the cargo tray could detach when it is opened. If enough force is applied, the stop-bracket fasteners could fail and allow the tray to come all the way out of the compartment it is mounted in.
 
Safety Risk: 
If the cargo tray comes out, it could increase the risk of injury. 

Corrective Actions: 
The company will notify owners by mail. Owners will be instructed to take their trailer to a dealer to have the fasteners removed and replaced with improved ones."
S036,3036,Accessories,"Issue: 
On certain travel trailers, the burners for inside kitchen cooktop may overheat during furnace operation. This could result in the cooktop surface becoming extremely hot.

Safety Risk: 
A hot surface could increase the risk of injury and could create the risk of fire. 
 
Corrective Actions: 
The company will notify owners by mail. Owners will be instructed to take their vehicle to a dealer to replace the inside kitchen cooktop."
S037,3037,Accessories,"Issue: 
On certain travel trailers, the burners for inside kitchen cooktop may overheat during furnace operation. This could result in the cooktop surface becoming extremely hot.

Safety Risk: 
A hot surface could increase the risk of injury and could create the risk of fire. 
 
Corrective Actions: 
The company will notify owners by mail. Owners will be instructed to take their vehicle to a dealer to replace the inside kitchen cooktop."
S038,3038,Seats And Restraints,"Issue: 
On certain cars, due to the seating posture/position of the occupant, the occupant classification system (OCS) may not work properly. This could cause the airbag system to turn off the passenger-front airbag even when an adult is seated in the front passenger seat. 
Note: When the front passenger-front airbag is turned off, the PASS AIR BAG OFF indicator will light.
 
Safety Risk:
In a crash where an airbag is required, an airbag that does not deploy could increase the risk of injury for an adult passenger.  
 
Corrective Actions: 
Suzuki will mail a letter to owners to advise of this problem. A second letter will be sent once a corrective action has been determined."
S039,3039,Seats And Restraints,"Issue: 
On certain cars, due to the seating posture/position of the occupant, the occupant classification system (OCS) may not work properly. This could cause the airbag system to turn off the passenger-front airbag even when an adult is seated in the front passenger seat. 
Note: When the front passenger-front airbag is turned off, the PASS AIR BAG OFF indicator will light.
 
Safety Risk:
In a crash where an airbag is required, an airbag that does not deploy could increase the risk of injury for an adult passenger.  
 
Corrective Actions: 
Suzuki will mail a letter to owners to advise of this problem. A second letter will be sent once a corrective action has been determined."
S040,3040,Seats And Restraints,"Issue: 
On certain cars, due to the seating posture/position of the occupant, the occupant classification system (OCS) may not work properly. This could cause the airbag system to turn off the passenger-front airbag even when an adult is seated in the front passenger seat. 
Note: When the front passenger-front airbag is turned off, the PASS AIR BAG OFF indicator will light.
 
Safety Risk:
In a crash where an airbag is required, an airbag that does not deploy could increase the risk of injury for an adult passenger.  
 
Corrective Actions: 
Suzuki will mail a letter to owners to advise of this problem. A second letter will be sent once a corrective action has been determined."
S041,3041,Seats And Restraints,"Issue: 
On certain cars, due to the seating posture/position of the occupant, the occupant classification system (OCS) may not work properly. This could cause the airbag system to turn off the passenger-front airbag even when an adult is seated in the front passenger seat. 
Note: When the front passenger-front airbag is turned off, the PASS AIR BAG OFF indicator will light.
 
Safety Risk:
In a crash where an airbag is required, an airbag that does not deploy could increase the risk of injury for an adult passenger.  
 
Corrective Actions: 
Suzuki will mail a letter to owners to advise of this problem. A second letter will be sent once a corrective action has been determined."
S042,3042,Lights And Instruments,"Issue: 
On certain trucks equipped with electronic stability control (ESC), the brake lights may turn on when the automatic traction control (ATC) activates. Canadian regulations do not allow brake lights to turn on when the automatic traction control activates. 

Safety Risk: 
Brake lights that turn on when a vehicle is not slowing could confuse other drivers. 

Corrective Actions: 
The company will notify owners by mail and instruct them to take their truck to a Daimler Trucks North America authorized service facility. The truck will either be reprogrammed or retrofitted so the brake lights do not turn on when the automatic traction control (ATC) activates."
S043,3043,Lights And Instruments,"Issue: 
On certain trucks equipped with electronic stability control (ESC), the brake lights may turn on when the automatic traction control (ATC) activates. Canadian regulations do not allow brake lights to turn on when the automatic traction control activates. 

Safety Risk: 
Brake lights that turn on when a vehicle is not slowing could confuse other drivers. 

Corrective Actions: 
The company will notify owners by mail and instruct them to take their truck to a Daimler Trucks North America authorized service facility. The truck will either be reprogrammed or retrofitted so the brake lights do not turn on when the automatic traction control (ATC) activates."
S044,3044,Lights And Instruments,"Issue: 
On certain trucks equipped with electronic stability control (ESC), the brake lights may turn on when the automatic traction control (ATC) activates. Canadian regulations do not allow brake lights to turn on when the automatic traction control activates. 

Safety Risk: 
Brake lights that turn on when a vehicle is not slowing could confuse other drivers. 

Corrective Actions: 
The company will notify owners by mail and instruct them to take their truck to a Daimler Trucks North America authorized service facility. The truck will either be reprogrammed or retrofitted so the brake lights do not turn on when the automatic traction control (ATC) activates."
S045,3045,Lights And Instruments,"Issue: 
On certain trucks equipped with electronic stability control (ESC), the brake lights may turn on when the automatic traction control (ATC) activates. Canadian regulations do not allow brake lights to turn on when the automatic traction control activates. 

Safety Risk: 
Brake lights that turn on when a vehicle is not slowing could confuse other drivers. 

Corrective Actions: 
The company will notify owners by mail and instruct them to take their truck to a Daimler Trucks North America authorized service facility. The truck will either be reprogrammed or retrofitted so the brake lights do not turn on when the automatic traction control (ATC) activates."
S046,3046,Lights And Instruments,"Issue: 
On certain trucks equipped with electronic stability control (ESC), the brake lights may turn on when the automatic traction control (ATC) activates. Canadian regulations do not allow brake lights to turn on when the automatic traction control activates. 

Safety Risk: 
Brake lights that turn on when a vehicle is not slowing could confuse other drivers. 

Corrective Actions: 
The company will notify owners by mail and instruct them to take their truck to a Daimler Trucks North America authorized service facility. The truck will either be reprogrammed or retrofitted so the brake lights do not turn on when the automatic traction control (ATC) activates."
S047,3047,Lights And Instruments,"Issue: 
On certain trucks equipped with electronic stability control (ESC), the brake lights may turn on when the automatic traction control (ATC) activates. Canadian regulations do not allow brake lights to turn on when the automatic traction control activates. 

Safety Risk: 
Brake lights that turn on when a vehicle is not slowing could confuse other drivers. 

Corrective Actions: 
The company will notify owners by mail and instruct them to take their truck to a Daimler Trucks North America authorized service facility. The truck will either be reprogrammed or retrofitted so the brake lights do not turn on when the automatic traction control (ATC) activates."
S048,3048,Lights And Instruments,"Issue: 
On certain trucks equipped with electronic stability control (ESC), the brake lights may turn on when the automatic traction control (ATC) activates. Canadian regulations do not allow brake lights to turn on when the automatic traction control activates. 

Safety Risk: 
Brake lights that turn on when a vehicle is not slowing could confuse other drivers. 

Corrective Actions: 
The company will notify owners by mail and instruct them to take their truck to a Daimler Trucks North America authorized service facility. The truck will either be reprogrammed or retrofitted so the brake lights do not turn on when the automatic traction control (ATC) activates."
S049,3049,Lights And Instruments,"Issue: 
On certain trucks equipped with electronic stability control (ESC), the brake lights may turn on when the automatic traction control (ATC) activates. Canadian regulations do not allow brake lights to turn on when the automatic traction control activates. 

Safety Risk: 
Brake lights that turn on when a vehicle is not slowing could confuse other drivers. 

Corrective Actions: 
The company will notify owners by mail and instruct them to take their truck to a Daimler Trucks North America authorized service facility. The truck will either be reprogrammed or retrofitted so the brake lights do not turn on when the automatic traction control (ATC) activates."
S050,3050,Lights And Instruments,"Issue: 
On certain trucks equipped with electronic stability control (ESC), the brake lights may turn on when the automatic traction control (ATC) activates. Canadian regulations do not allow brake lights to turn on when the automatic traction control activates. 

Safety Risk: 
Brake lights that turn on when a vehicle is not slowing could confuse other drivers. 

Corrective Actions: 
The company will notify owners by mail and instruct them to take their truck to a Daimler Trucks North America authorized service facility. The truck will either be reprogrammed or retrofitted so the brake lights do not turn on when the automatic traction control (ATC) activates."
S051,3051,Lights And Instruments,"Issue: 
On certain trucks equipped with electronic stability control (ESC), the brake lights may turn on when the automatic traction control (ATC) activates. Canadian regulations do not allow brake lights to turn on when the automatic traction control activates. 

Safety Risk: 
Brake lights that turn on when a vehicle is not slowing could confuse other drivers. 

Corrective Actions: 
The company will notify owners by mail and instruct them to take their truck to a Daimler Trucks North America authorized service facility. The truck will either be reprogrammed or retrofitted so the brake lights do not turn on when the automatic traction control (ATC) activates."
S052,3052,Lights And Instruments,"Issue: 
On certain trucks equipped with electronic stability control (ESC), the brake lights may turn on when the automatic traction control (ATC) activates. Canadian regulations do not allow brake lights to turn on when the automatic traction control activates. 

Safety Risk: 
Brake lights that turn on when a vehicle is not slowing could confuse other drivers. 

Corrective Actions: 
The company will notify owners by mail and instruct them to take their truck to a Daimler Trucks North America authorized service facility. The truck will either be reprogrammed or retrofitted so the brake lights do not turn on when the automatic traction control (ATC) activates."
S053,3053,Lights And Instruments,"Issue: 
On certain trucks equipped with electronic stability control (ESC), the brake lights may turn on when the automatic traction control (ATC) activates. Canadian regulations do not allow brake lights to turn on when the automatic traction control activates. 

Safety Risk: 
Brake lights that turn on when a vehicle is not slowing could confuse other drivers. 

Corrective Actions: 
The company will notify owners by mail and instruct them to take their truck to a Daimler Trucks North America authorized service facility. The truck will either be reprogrammed or retrofitted so the brake lights do not turn on when the automatic traction control (ATC) activates."
S054,3054,Lights And Instruments,"Issue: 
On certain trucks equipped with electronic stability control (ESC), the brake lights may turn on when the automatic traction control (ATC) activates. Canadian regulations do not allow brake lights to turn on when the automatic traction control activates. 

Safety Risk: 
Brake lights that turn on when a vehicle is not slowing could confuse other drivers. 

Corrective Actions: 
The company will notify owners by mail and instruct them to take their truck to a Daimler Trucks North America authorized service facility. The truck will either be reprogrammed or retrofitted so the brake lights do not turn on when the automatic traction control (ATC) activates."
S055,3055,Lights And Instruments,"Issue: 
On certain trucks equipped with electronic stability control (ESC), the brake lights may turn on when the automatic traction control (ATC) activates. Canadian regulations do not allow brake lights to turn on when the automatic traction control activates. 

Safety Risk: 
Brake lights that turn on when a vehicle is not slowing could confuse other drivers. 

Corrective Actions: 
The company will notify owners by mail and instruct them to take their truck to a Daimler Trucks North America authorized service facility. The truck will either be reprogrammed or retrofitted so the brake lights do not turn on when the automatic traction control (ATC) activates."
S056,3056,Lights And Instruments,"Issue: 
On certain trucks equipped with electronic stability control (ESC), the brake lights may turn on when the automatic traction control (ATC) activates. Canadian regulations do not allow brake lights to turn on when the automatic traction control activates. 

Safety Risk: 
Brake lights that turn on when a vehicle is not slowing could confuse other drivers. 

Corrective Actions: 
The company will notify owners by mail and instruct them to take their truck to a Daimler Trucks North America authorized service facility. The truck will either be reprogrammed or retrofitted so the brake lights do not turn on when the automatic traction control (ATC) activates."
S057,3057,Lights And Instruments,"Issue: 
On certain trucks equipped with electronic stability control (ESC), the brake lights may turn on when the automatic traction control (ATC) activates. Canadian regulations do not allow brake lights to turn on when the automatic traction control activates. 

Safety Risk: 
Brake lights that turn on when a vehicle is not slowing could confuse other drivers. 

Corrective Actions: 
The company will notify owners by mail and instruct them to take their truck to a Daimler Trucks North America authorized service facility. The truck will either be reprogrammed or retrofitted so the brake lights do not turn on when the automatic traction control (ATC) activates."
S058,3058,Lights And Instruments,"Issue: 
On certain trucks equipped with electronic stability control (ESC), the brake lights may turn on when the automatic traction control (ATC) activates. Canadian regulations do not allow brake lights to turn on when the automatic traction control activates. 

Safety Risk: 
Brake lights that turn on when a vehicle is not slowing could confuse other drivers. 

Corrective Actions: 
The company will notify owners by mail and instruct them to take their truck to a Daimler Trucks North America authorized service facility. The truck will either be reprogrammed or retrofitted so the brake lights do not turn on when the automatic traction control (ATC) activates."
S059,3059,Lights And Instruments,"Issue: 
On certain trucks equipped with electronic stability control (ESC), the brake lights may turn on when the automatic traction control (ATC) activates. Canadian regulations do not allow brake lights to turn on when the automatic traction control activates. 

Safety Risk: 
Brake lights that turn on when a vehicle is not slowing could confuse other drivers. 

Corrective Actions: 
The company will notify owners by mail and instruct them to take their truck to a Daimler Trucks North America authorized service facility. The truck will either be reprogrammed or retrofitted so the brake lights do not turn on when the automatic traction control (ATC) activates."
S060,3060,Lights And Instruments,"Issue: 
On certain trucks equipped with electronic stability control (ESC), the brake lights may turn on when the automatic traction control (ATC) activates. Canadian regulations do not allow brake lights to turn on when the automatic traction control activates. 

Safety Risk: 
Brake lights that turn on when a vehicle is not slowing could confuse other drivers. 

Corrective Actions: 
The company will notify owners by mail and instruct them to take their truck to a Daimler Trucks North America authorized service facility. The truck will either be reprogrammed or retrofitted so the brake lights do not turn on when the automatic traction control (ATC) activates."
S061,3061,Lights And Instruments,"Issue: 
On certain trucks equipped with electronic stability control (ESC), the brake lights may turn on when the automatic traction control (ATC) activates. Canadian regulations do not allow brake lights to turn on when the automatic traction control activates. 

Safety Risk: 
Brake lights that turn on when a vehicle is not slowing could confuse other drivers. 

Corrective Actions: 
The company will notify owners by mail and instruct them to take their truck to a Daimler Trucks North America authorized service facility. The truck will either be reprogrammed or retrofitted so the brake lights do not turn on when the automatic traction control (ATC) activates."
S062,3062,Lights And Instruments,"Issue: 
On certain trucks equipped with electronic stability control (ESC), the brake lights may turn on when the automatic traction control (ATC) activates. Canadian regulations do not allow brake lights to turn on when the automatic traction control activates. 

Safety Risk: 
Brake lights that turn on when a vehicle is not slowing could confuse other drivers. 

Corrective Actions: 
The company will notify owners by mail and instruct them to take their truck to a Daimler Trucks North America authorized service facility. The truck will either be reprogrammed or retrofitted so the brake lights do not turn on when the automatic traction control (ATC) activates."
S063,3063,Lights And Instruments,"Issue: 
On certain trucks equipped with electronic stability control (ESC), the brake lights may turn on when the automatic traction control (ATC) activates. Canadian regulations do not allow brake lights to turn on when the automatic traction control activates. 

Safety Risk: 
Brake lights that turn on when a vehicle is not slowing could confuse other drivers. 

Corrective Actions: 
The company will notify owners by mail and instruct them to take their truck to a Daimler Trucks North America authorized service facility. The truck will either be reprogrammed or retrofitted so the brake lights do not turn on when the automatic traction control (ATC) activates."
S064,3064,Lights And Instruments,"Issue: 
On certain trucks equipped with electronic stability control (ESC), the brake lights may turn on when the automatic traction control (ATC) activates. Canadian regulations do not allow brake lights to turn on when the automatic traction control activates. 

Safety Risk: 
Brake lights that turn on when a vehicle is not slowing could confuse other drivers. 

Corrective Actions: 
The company will notify owners by mail and instruct them to take their truck to a Daimler Trucks North America authorized service facility. The truck will either be reprogrammed or retrofitted so the brake lights do not turn on when the automatic traction control (ATC) activates."
S065,3065,Lights And Instruments,"Issue: 
On certain trucks equipped with electronic stability control (ESC), the brake lights may turn on when the automatic traction control (ATC) activates. Canadian regulations do not allow brake lights to turn on when the automatic traction control activates. 

Safety Risk: 
Brake lights that turn on when a vehicle is not slowing could confuse other drivers. 

Corrective Actions: 
The company will notify owners by mail and instruct them to take their truck to a Daimler Trucks North America authorized service facility. The truck will either be reprogrammed or retrofitted so the brake lights do not turn on when the automatic traction control (ATC) activates."
S066,3066,Lights And Instruments,"Issue: 
On certain trucks equipped with electronic stability control (ESC), the brake lights may turn on when the automatic traction control (ATC) activates. Canadian regulations do not allow brake lights to turn on when the automatic traction control activates. 

Safety Risk: 
Brake lights that turn on when a vehicle is not slowing could confuse other drivers. 

Corrective Actions: 
The company will notify owners by mail and instruct them to take their truck to a Daimler Trucks North America authorized service facility. The truck will either be reprogrammed or retrofitted so the brake lights do not turn on when the automatic traction control (ATC) activates."
S067,3067,Lights And Instruments,"Issue: 
On certain trucks equipped with electronic stability control (ESC), the brake lights may turn on when the automatic traction control (ATC) activates. Canadian regulations do not allow brake lights to turn on when the automatic traction control activates. 

Safety Risk: 
Brake lights that turn on when a vehicle is not slowing could confuse other drivers. 

Corrective Actions: 
The company will notify owners by mail and instruct them to take their truck to a Daimler Trucks North America authorized service facility. The truck will either be reprogrammed or retrofitted so the brake lights do not turn on when the automatic traction control (ATC) activates."
S068,3068,Lights And Instruments,"Issue: 
On certain trucks equipped with electronic stability control (ESC), the brake lights may turn on when the automatic traction control (ATC) activates. Canadian regulations do not allow brake lights to turn on when the automatic traction control activates. 

Safety Risk: 
Brake lights that turn on when a vehicle is not slowing could confuse other drivers. 

Corrective Actions: 
The company will notify owners by mail and instruct them to take their truck to a Daimler Trucks North America authorized service facility. The truck will either be reprogrammed or retrofitted so the brake lights do not turn on when the automatic traction control (ATC) activates."
